_id,İLÇE ADI,KATSAYISI,TOPLAM YAPI SAYISI
222,KARŞIYAKA,6,5745
223,KARŞIYAKA,7,1119
224,KARŞIYAKA,8,356
225,KARŞIYAKA,9,419
226,KARŞIYAKA,10,214
227,KARŞIYAKA,11,201
228,KARŞIYAKA,12,69
229,KARŞIYAKA,13,16
230,KARŞIYAKA,14,18
231,KARŞIYAKA,15,11
232,KARŞIYAKA,16,29
233,KARŞIYAKA,17,19
234,KARŞIYAKA,18,26
235,KARŞIYAKA,19,19
236,KARŞIYAKA,20,2
237,KARŞIYAKA,21,10
238,KARŞIYAKA,22,10
239,KARŞIYAKA,23,13
240,KARŞIYAKA,24,1
241,KARŞIYAKA,25,2
242,KARŞIYAKA,26,5
243,KARŞIYAKA,29,1
244,KARŞIYAKA,32,1
245,KARŞIYAKA,35,1
246,KEMALPAŞA,1,19513
247,KEMALPAŞA,2,9328
248,KEMALPAŞA,3,3737
249,KEMALPAŞA,4,3504
250,KEMALPAŞA,5,1457
251,KEMALPAŞA,6,383
252,KEMALPAŞA,7,109
253,KEMALPAŞA,8,24
254,KEMALPAŞA,9,19
255,KEMALPAŞA,10,7
256,KEMALPAŞA,11,4
257,KEMALPAŞA,12,2
258,KEMALPAŞA,13,1
259,KEMALPAŞA,14,1
260,KEMALPAŞA,15,1
261,KEMALPAŞA,16,1
262,KEMALPAŞA,24,1
263,KEMALPAŞA,61,1
264,KEMALPAŞA,88,1
265,KINIK,1,7690
266,KINIK,2,2026
267,KINIK,3,368
268,KINIK,4,148
269,KINIK,5,92
270,KINIK,6,32
271,KINIK,8,8
272,KINIK,9,1
273,KONAK,1,13809
274,KONAK,2,18960
275,KONAK,3,11883
276,KONAK,4,7086
277,KONAK,5,5369
278,KONAK,6,2440
279,KONAK,7,1028
280,KONAK,8,1068
281,KONAK,9,854
282,KONAK,10,482
283,KONAK,11,110
284,KONAK,12,43
285,KONAK,13,18
286,KONAK,14,12
287,KONAK,15,5
288,KONAK,16,3
289,KONAK,17,2
290,KONAK,18,1
291,KONAK,19,3
292,KONAK,20,3
293,KONAK,21,2
294,KONAK,22,1
295,KONAK,23,4
296,KONAK,24,1
297,KONAK,25,3
298,KONAK,26,3
299,KONAK,27,9
300,KONAK,28,6
301,KONAK,29,1
302,KONAK,30,1
303,KONAK,32,1
304,KONAK,33,1
305,KONAK,36,4
306,KONAK,37,2
307,KONAK,38,3
308,KONAK,40,3
309,KONAK,41,2
310,KONAK,43,1
311,KONAK,44,1
312,KONAK,46,1
313,KONAK,48,2
314,KONAK,50,1
315,KONAK,51,1
316,KONAK,54,2
317,KONAK,61,1
318,KONAK,63,1
319,KONAK,65,1
320,KİRAZ,1,12543
321,KİRAZ,2,5972
322,KİRAZ,3,650
323,KİRAZ,4,253
324,KİRAZ,5,170
325,KİRAZ,6,88
326,KİRAZ,7,10
327,MENDERES,1,19188
328,MENDERES,2,13979
329,MENDERES,3,6683
330,MENDERES,4,1460
331,MENDERES,5,623
332,MENDERES,6,343
333,MENDERES,7,21
334,MENDERES,8,2
335,MENDERES,9,3
336,MENDERES,10,2
337,MENDERES,11,1
338,MENDERES,14,1
339,MENDERES,20,1
340,MENDERES,30,1
341,MENEMEN,1,13726
342,MENEMEN,2,8021
343,MENEMEN,3,4445
344,MENEMEN,4,3024
345,MENEMEN,5,1780
346,MENEMEN,6,553
347,MENEMEN,7,356
348,MENEMEN,8,352
349,MENEMEN,9,200
350,MENEMEN,10,125
351,MENEMEN,11,77
352,MENEMEN,12,59
353,MENEMEN,13,54
354,MENEMEN,14,35
355,MENEMEN,15,15
356,MENEMEN,16,9
357,MENEMEN,17,8
358,MENEMEN,18,1
359,NARLIDERE,1,2114
360,NARLIDERE,2,1770
361,NARLIDERE,3,1171
362,NARLIDERE,4,582
363,NARLIDERE,5,463
364,NARLIDERE,6,261
365,NARLIDERE,7,146
366,NARLIDERE,8,157
367,NARLIDERE,9,141
368,NARLIDERE,10,107
369,NARLIDERE,11,60
370,NARLIDERE,12,33
371,NARLIDERE,13,25
372,NARLIDERE,14,14
373,NARLIDERE,15,3
374,NARLIDERE,18,3
375,NARLIDERE,23,1
376,SEFERİHİSAR,1,7064
377,SEFERİHİSAR,2,15718
378,SEFERİHİSAR,3,8266
379,SEFERİHİSAR,4,1368
380,SEFERİHİSAR,5,671
381,SEFERİHİSAR,6,199
382,SEFERİHİSAR,7,11
383,SEFERİHİSAR,8,1
384,SEFERİHİSAR,12,1
385,SELÇUK,1,4255
386,SELÇUK,2,2450
387,SELÇUK,3,1444
388,SELÇUK,4,721
389,SELÇUK,5,889
390,SELÇUK,6,148
391,SELÇUK,7,120
392,SELÇUK,8,1
393,SELÇUK,9,1
394,SELÇUK,12,1
395,SELÇUK,15,1
396,TORBALI,1,18595
397,TORBALI,2,7700
398,TORBALI,3,4008
399,TORBALI,4,3216
400,TORBALI,5,1300
401,TORBALI,6,912
402,TORBALI,7,750
403,TORBALI,8,172
404,TORBALI,9,146
405,TORBALI,10,38
406,TORBALI,11,58
407,TORBALI,12,7
408,TORBALI,19,1
409,TORBALI,21,2
410,TİRE,1,15251
411,TİRE,2,9279
412,TİRE,3,1526
413,TİRE,4,1008
414,TİRE,5,978
415,TİRE,6,792
416,TİRE,7,107
417,TİRE,8,23
418,TİRE,9,40
419,TİRE,10,3
420,TİRE,11,1
421,TİRE,12,2
422,URLA,1,11375
423,URLA,2,21299
424,URLA,3,7353
425,URLA,4,872
426,URLA,5,80
427,URLA,6,21
428,URLA,8,1
429,URLA,10,3
430,URLA,23,1
431,ÇEŞME,1,4267
432,ÇEŞME,2,30452
433,ÇEŞME,3,6277
434,ÇEŞME,4,613
435,ÇEŞME,5,115
436,ÇEŞME,6,59
437,ÇEŞME,7,14
438,ÇEŞME,8,4
439,ÇEŞME,9,4
440,ÇEŞME,11,2
441,ÇEŞME,21,1
442,ÇEŞME,31,1
443,ÇİĞLİ,1,6045
444,ÇİĞLİ,2,5155
445,ÇİĞLİ,3,5290
446,ÇİĞLİ,4,2325
447,ÇİĞLİ,5,1007
448,ÇİĞLİ,6,792
449,ÇİĞLİ,7,433
450,ÇİĞLİ,8,541
451,ÇİĞLİ,9,609
452,ÇİĞLİ,10,301
453,ÇİĞLİ,11,75
454,ÇİĞLİ,12,35
455,ÇİĞLİ,13,11
456,ÇİĞLİ,14,3
457,ÇİĞLİ,15,3
458,ÇİĞLİ,16,2
459,ÇİĞLİ,17,6
460,ÇİĞLİ,19,1
461,ÇİĞLİ,24,2
462,ÇİĞLİ,34,1
463,ÖDEMİŞ,1,23800
464,ÖDEMİŞ,2,14875
465,ÖDEMİŞ,3,2156
466,ÖDEMİŞ,4,1737
467,ÖDEMİŞ,5,2570
468,ÖDEMİŞ,6,628
469,ÖDEMİŞ,7,398
470,ÖDEMİŞ,8,21
471,ÖDEMİŞ,9,7
472,ÖDEMİŞ,33,1
